domain,count,last_seen
httpbin.org,1,2023-11-14 22:14:27
www.youtube.com,1,2023-11-14 22:13:27
www.facebook.com,1,2023-11-14 22:13:31
www.microsoft.com,1,2023-11-14 22:14:19
github.com,1,2023-11-14 22:13:51
www.instagram.com,1,2023-11-14 22:13:35
discord.com,1,2023-11-14 22:13:55
web.telegram.org,1,2023-11-14 22:14:03
www.apple.com,1,2023-11-14 22:14:23
twitter.com,1,2023-11-14 22:13:39
example.com,1,2023-11-14 22:14:25
open.spotify.com,1,2023-11-14 22:14:11
www.google.com,1,2023-11-14 22:13:23
www.amazon.com,1,2023-11-14 22:13:43
zoom.us,1,2023-11-14 22:13:59
www.cloudflare.com,1,2023-11-14 22:14:15
www.netflix.com,1,2023-11-14 22:13:47
www.tiktok.com,1,2023-11-14 22:14:07
